"Sendinblue : THE all-in-one plugin for your marketing and transactional emails.","Sendinblue : Il plugin all-in-one plugin per le tue email transazionali e di marketing."
"About Sendinblue","Su Sendinblue"
"For further informations, please visit our website","Per maggiori informazioni, visita il nostro sito"
With the Sendinblue plugin, you can find everything you need to easily and efficiently send your email &amp; SMS campaigns to your prospects and customers.","Con il plugin Sendinblue, puoi trovare tutto ciò di cui hai bisogno per spedire in maniera semplice ed efficiente le tue email &amp; campagne SMS ai tuoi prospect e clienti."
"Synchronize your subscribers with Sendinblue (subscribed contacts)","Sincronizza i tuoi iscritti newsletter con Sendinblue (contatti)"
"Easily create good looking emailings","Crea email template di bell'aspetto"
"Schedule your campaigns","Schedula le tue campagne"
"Track your results and optimize","Traccia i tuoi risultati e ottimizzali"
"Monitor your transactional emails (purchase confirmation, password reset, etc) with a better deliverability and real-time analytics","Monitora le tue email transazionali (conferme d'acquisto, reset password, etc) con una migliore deliverabilità ed analitiche in tempo reale"
"Why should you use Sendinblue ?","Perche dovrei utilizzare Sendinblue ?"
"Optimized deliverability","Deliverabilità ottimizzata"
"Unbeatable pricing &ndash; best value in the industry","Prezzo imbattibile &ndash; miglior valore nel settore"
"Technical support, by phone or by email","Supporto tecnico, al telefono o per email"
"Prerequisites","Prerequisiti"
"You should have a Sendinblue account. You can create a free account here : ","Dovresti avere un account Sendinblue. Puoi crearne uno gratuito qui : "
"Settings","Impostazioni"
"Activate the Sendinblue module","Attiva il modulo Sendinblue"
"API key v3","Chiave API v3"
"Please enter your API key from your Sendinblue account and if you don't have it yet, please go to www.sendinblue.com and subscribe. You can then get the API key from https://my.sendinblue.com/advanced/apikey","Inserisci la tua chiave API key del tuo account Sendinblue, se non ne possiedi ancora una vai su www.sendinblue.com ed iscriviti. Puoi prendere la chiave API da https://my.sendinblue.com/advanced/apikey"
"Use Sendinblue subscription confirmation options to manage opt-in settings","Utilizza le opzioni di conferma iscrizione di Sendinblue per gestire impostazioni di adesione"
"Your lists","Le tue liste"
"Update","Aggiorna"
"Select the contact list where you want to save the contacts of your site Magento. By default, we have created a list Magento in your Sendinblue account and we have selected it","Seleziona la lista contatti dove vuoi salvare i contatti del tuo sito Magento. Di default abbiamo creato una lista Magento nel tuo account Sendinblue e la abbiamo già selezionata"
"With this option, contacts are directly added to your list when they enter their email address. No confirmation email is sent.","Con questa opzione i contatti sono aggiunti direttamente alla tua lista nel momento in cui inseriscono la mail. Nessuna conferma viene spedita per email."
"This confirmation email is one of your SMTP templates. By default, we have created a Default Template - Single Confirmation.","Questa email di conferma è presente in un tuo template SMTP. Di default abbiamo creato un Default Template - Single Confirmation."
"By selecting this option, contacts are directly added to your list when they enter their email address on the form. A confirmation email will automatically be sent following their subscription.","Selezionando questa opzione i contatti sono aggiunti direttamente alla tua lista nel momento in cui inseriscono la mail. Una email di conferma sarà inviata automaticamente a seguito della loro iscrizione."
"Select Template","Seleziona un Template"
"Select a Sendinblue template that will be sent personalized for each contact that subscribes to your newsletter","Selezioona un template Sendinblue che sarà spedito con personalizzazioni per ogni contatto che si iscrive alla tua newsletter"
"If you select the Double Opt-in confirmation, subscribers will receive an email inviting them to confirm their subscription. Before confirmation, the contact will be saved in the 'FORM' folder, on the 'Temp - DOUBLE OPT-IN' list. After confirmation, the contact will be saved in the 'Corresponding List' selected above.","Se hai selezionato la conferma con doppio controllo, i subscribers riceveranno una email che li invita a confermare l'iscrizione. Prima della conferma, il contatto sarà salvato nella cartella 'FORM', nella lista 'Temp - DOUBLE OPT-IN'. Dopo la conferma, il contatto sarà salvato nella lista 'Corresponding List' selezionata prima."
"Once the form has been completed, your contact will receive an email with a link to confirm their subscription.","Quando un form è stato completato, il tuo contatto ricevarà una email con un link per confermare la sua iscrizione."
"Default Template","Default Template"
"Select a Sendinblue template that will be sent personalized for each contact that subscribes to your newsletter","Seleziona un template Sendinblue che sarà spedito con personalizzazioni per ogni contatto che si iscrive alla tua newsletter"
"Redirect URL after clicking in the validation email","URL di redirezione dopo aver cliccato la mail di validazione"
